Tanggal,Nama_Buku,Jumlah,Pendapatan
2024-01-01,Buku A,50,500000
2024-01-02,Buku B,30,300000
2024-01-03,Buku C,40,400000
2024-01-04,Buku D,45,450000
2024-01-05,Buku A,55,550000
2024-01-06,Buku B,25,250000
2024-01-07,Buku C,35,350000
2024-01-08,Buku D,40,400000
2024-01-09,Buku A,60,600000
2024-01-10,Buku B,28,280000
2024-01-11,Buku C,38,380000
2024-01-12,Buku D,42,420000
2024-01-13,Buku A,58,580000
2024-01-14,Buku B,32,320000
2024-01-15,Buku C,42,420000
2024-01-16,Buku D,48,480000
2024-01-17,Buku A,62,620000
2024-01-18,Buku B,26,260000
2024-01-19,Buku C,36,360000
2024-01-20,Buku D,44,440000
